id,out,in,all,bins,unique,,
3150,4,35,39,,189,7,1323
14288,2,1,3,,190,6,1140
15413,25,6,31,,191,7,1337
15643,7,1,8,,192,7,1344
16335,5,2,7,,193,5,965
11966,4,5,9,,194,6,1164
11057,1,13,14,,195,4,780
2442,70,61,131,,196,5,980
3000,10,23,33,,197,2,394
14803,5,3,8,,198,3,594
16384,2,2,4,,199,6,1194
11510,20,26,46,,200,3,600
5346,98,73,171,,201,5,1005
11300,12,38,50,,202,4,808
6930,17,5,22,,203,10,2030
10503,49,4,53,,204,6,1224
9893,10,1,11,,205,6,1230
9081,10,41,51,,206,8,1648
9787,6,7,13,,207,12,2484
15433,12,21,33,,208,6,1248
8417,1,7,8,,209,6,1254
1143,7,15,22,,210,7,1470
13215,3,8,11,,211,6,1266
1129,2,9,11,,212,7,1484
13594,8,2,10,,213,4,852
11714,3,74,77,,214,5,1070
16059,40,4,44,,215,4,860
17061,3,8,11,,216,4,864
6419,80,121,201,,217,2,434
11896,52,6,58,,218,4,872
5409,78,99,177,,219,4,876
14948,10,0,10,,220,4,880
3124,94,4,98,,221,7,1547
4922,7,3,10,,222,4,888
1216,5,1,6,,223,2,446
16379,6,4,10,,224,3,672
10955,2,5,7,,225,8,1800
351,3,2,5,,226,2,452
15748,5,2,7,,227,4,908
7229,7,8,15,,228,1,228
6530,11,0,11,,229,3,687
8324,4,23,27,,231,4,924
960,5,67,72,,232,2,464
10756,9,3,12,,233,1,233
6216,1,32,33,,235,1,235
1632,5,135,140,,236,1,236
9790,1,14,15,,239,1,239
4463,19,6,25,,240,3,720
10064,26,33,59,,241,2,482
5722,19,2,21,,242,1,242
3310,101,37,138,,243,1,243
15039,4,3,7,,244,2,488
3764,8,5,13,,245,3,735
17472,1,5,6,,246,1,246
15992,3,6,9,,250,1,250
11408,5,1,6,,251,2,502
13392,3,6,9,,252,2,504
6372,5,2,7,,253,3,759
5465,21,78,99,,254,3,762
16218,23,8,31,,255,1,255
6657,12,6,18,,256,1,256
14273,6,2,8,,257,3,771
9590,9,15,24,,258,2,516
12771,2,2,4,,259,3,777
17157,5,0,5,,260,2,520
9476,9,1,10,,262,3,786
8287,5,22,27,,263,3,789
14631,1,0,1,,265,3,795
10210,46,27,73,,266,1,266
8200,142,72,214,,267,1,267
374,20,4,24,,269,1,269
1660,8,8,16,,270,2,540
16641,3,13,16,,272,2,544
9336,20,26,46,,275,4,1100
10367,23,26,49,,278,1,278
3075,43,38,81,,279,1,279
890,1,54,55,,280,3,840
1065,31,8,39,,283,2,566
15670,18,0,18,,286,1,286
9648,7,9,16,,287,2,574
8799,2,9,11,,289,3,867
12782,16,0,16,,293,1,293
6539,3,11,14,,294,1,294
876,2,77,79,,295,1,295
6895,27,31,58,,297,1,297
14573,38,22,60,,298,1,298
1173,1,1,2,,299,1,299
4764,19,0,19,,300,1,300
17325,3,11,14,,310,1,310
8997,39,1,40,,311,1,311
8438,86,1,87,,312,1,312
14798,2,0,2,,313,1,313
4420,21,7,28,,314,2,628
16907,4,0,4,,318,2,636
14642,11,6,17,,319,1,319
11692,29,30,59,,320,2,640
708,139,26,165,,323,1,323
4272,22,12,34,,324,2,648
417,17,4,21,,326,1,326
14709,5,8,13,,331,1,331
14140,11,9,20,,333,1,333
4597,7,17,24,,334,2,668
2144,25,15,40,,335,1,335
16028,35,5,40,,336,1,336
6628,8,12,20,,340,1,340
10556,15,18,33,,341,1,341
2997,42,17,59,,345,2,690
8689,1,2,3,,346,2,692
16797,3,0,3,,350,2,700
15455,5,4,9,,355,2,710
16715,17,5,22,,358,1,358
1833,56,48,104,,361,1,361
5399,84,101,185,,365,1,365
6776,6,4,10,,366,1,366
1353,14,25,39,,372,2,744
15674,7,1,8,,376,3,1128
4364,17,2,19,,377,1,377
11859,1,1,2,,382,1,382
729,46,112,158,,392,1,392
17438,6,3,9,,393,2,786
4392,6,1,7,,395,2,790
6081,15,11,26,,398,1,398
3375,25,11,36,,400,1,400
8666,8,0,8,,402,1,402
9310,3,10,13,,410,1,410
12922,25,1,26,,416,1,416
13648,4,10,14,,417,1,417
3937,1,1,2,,419,1,419
4577,9,1,10,,427,1,427
11916,7,24,31,,428,1,428
16154,4,6,10,,438,1,438
7763,7,3,10,,450,1,450
3356,14,3,17,,451,1,451
6796,29,10,39,,457,1,457
12353,11,30,41,,463,1,463
13910,3,1,4,,471,2,942
1181,103,24,127,,475,1,475
15380,6,54,60,,490,1,490
12623,6,1,7,,493,1,493
10113,4,0,4,,500,1,500
8611,5,3,8,,533,1,533
51,1,9,10,,545,1,545
16227,17,1,18,,555,1,555
14078,1,1,2,,561,1,561
13533,33,3,36,,584,1,584
11780,1,11,12,,599,1,599
14366,11,10,21,,610,1,610
11987,9,4,13,,784,1,784
8337,15,10,25,,,,
15323,1,3,4,,,,
8794,35,59,94,,,,
8484,6,7,13,,,,
13106,8,9,17,,,,
15683,5,14,19,,,,
3350,54,25,79,,,,
11786,4,8,12,,,,
14268,2,5,7,,,,
14155,6,6,12,,,,
6949,6,10,16,,,,
16474,7,6,13,,,,
5935,2,1,3,,,,
15930,2,1,3,,,,
